epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,13073.8,1.7197,2.19443,1.45473,0.67664,0.69079,0.70345,0.45431,1.28969,1.10637,1.23708,0.004159,0.004159,0.004159
61,13295.3,1.71492,2.20183,1.4434,0.71767,0.68976,0.72288,0.46121,1.29409,1.08751,1.23971,0.00406,0.00406,0.00406
62,13516.6,1.72968,2.21226,1.46051,0.71687,0.68061,0.72035,0.46338,1.2874,1.10971,1.23945,0.003961,0.003961,0.003961
63,13738.2,1.72899,2.20689,1.45999,0.69098,0.69495,0.7137,0.46123,1.2847,1.12323,1.23672,0.003862,0.003862,0.003862
64,13959.3,1.69536,2.15586,1.45002,0.68535,0.70257,0.72364,0.47247,1.27684,1.08488,1.23515,0.003763,0.003763,0.003763
65,14181.6,1.70492,2.16577,1.44149,0.65512,0.68449,0.70954,0.45917,1.27926,1.07859,1.23083,0.003664,0.003664,0.003664
66,14404.3,1.70703,2.16953,1.42907,0.65748,0.66375,0.69715,0.44995,1.28236,1.09936,1.22579,0.003565,0.003565,0.003565
67,14626.6,1.66902,2.11759,1.42499,0.66013,0.67737,0.70255,0.4539,1.27479,1.09422,1.22555,0.003466,0.003466,0.003466
68,14848.6,1.68643,2.1129,1.42896,0.66852,0.69404,0.71397,0.46057,1.27933,1.07553,1.23697,0.003367,0.003367,0.003367
69,15070.4,1.68932,2.13595,1.43327,0.6768,0.68426,0.72605,0.473,1.28023,1.0618,1.23106,0.003268,0.003268,0.003268
70,15292.5,1.67163,2.10543,1.42069,0.66834,0.69856,0.71704,0.46703,1.271,1.05725,1.22956,0.003169,0.003169,0.003169
71,15514.3,1.6638,2.10622,1.42326,0.65224,0.68493,0.71582,0.46372,1.27666,1.05378,1.23598,0.00307,0.00307,0.00307
72,15735.6,1.66522,2.08628,1.41143,0.66445,0.68446,0.71984,0.46629,1.2692,1.05166,1.23128,0.002971,0.002971,0.002971
73,15957.4,1.65396,2.07024,1.41294,0.68026,0.68375,0.71053,0.46256,1.27431,1.06001,1.23859,0.002872,0.002872,0.002872
74,16179,1.65775,2.09238,1.42005,0.70313,0.66033,0.70496,0.45435,1.27175,1.05285,1.2365,0.002773,0.002773,0.002773
75,16399.5,1.66044,2.1004,1.41699,0.66162,0.65177,0.70103,0.45745,1.26719,1.05859,1.23151,0.002674,0.002674,0.002674
76,16618.5,1.64771,2.09417,1.41843,0.64701,0.67518,0.69978,0.45651,1.26808,1.07821,1.22886,0.002575,0.002575,0.002575
